player,dealer,optimal
4,9,hit
6,4,hit
8,2,hit
8,8,hit
9,5,hit
12,4,stay
12,6,stay
13,2,stay
13,3,stay
13,4,stay
13,5,stay
13,6,stay
14,2,stay
14,3,stay
14,4,stay
15,2,stay
15,3,stay
15,4,stay
15,6,stay
15,9,hit
15,10,hit
16,2,stay
16,4,stay
16,5,stay
16,8,hit
17,6,stay
17,9,stay
18,5,stay
18,8,stay
19,5,stay
4,9,stay
6,2,hit
6,4,stay
8,2,stay
8,8,stay
9,5,stay
12,4,hit
12,6,hit
13,2,hit
13,3,hit
13,4,hit
13,5,hit
13,6,hit
14,2,hit
14,3,hit
14,4,hit
15,2,hit
15,3,hit
15,4,hit
15,6,hit
15,9,stay
15,10,stay
16,2,hit
16,4,hit
16,5,hit
16,8,stay
17,6,hit
17,9,hit
18,5,hit
18,8,hit
19,5,hit
