player,dealer,optimal
5,3,hit
5,4,hit
5,8,hit
6,9,hit
7,7,hit
7,10,hit
8,5,double
8,6,double
9,3,double
9,4,double
9,6,double
9,10,hit
10,2,double
10,3,double
10,4,double
10,5,double
10,6,double
10,7,double
10,9,double
11,2,double
11,3,double
11,4,double
11,5,double
11,6,double
11,7,double
11,9,double
11,10,double
11,11,double
12,2,hit
12,3,hit
12,7,hit
12,9,hit
13,3,stay
13,4,stay
13,7,hit
14,2,stay
14,11,hit
15,7,hit
15,11,hit
16,7,hit
16,11,hit
17,9,stay
17,10,stay
17,11,stay
"A,2",2,hit
"A,2",4,double
"A,2",5,double
"A,2",6,double
"A,2",11,hit
"A,3",4,double
"A,3",5,double
"A,3",6,double
"A,3",7,hit
"A,3",9,hit
"A,4",3,hit
"A,4",4,double
"A,4",5,double
"A,4",6,double
"A,4",7,hit
"A,4",8,hit
"A,5",2,hit
"A,5",3,hit
"A,5",4,double
"A,5",5,double
"A,5",7,hit
"A,5",8,hit
"A,5",9,hit
"A,5",10,hit
"A,6",3,double
"A,6",6,hit
"A,6",7,hit
"A,6",8,hit
"A,6",9,hit
"A,6",10,hit
"A,6",11,hit
"A,7",3,double
"A,7",4,double
"A,7",5,double
"A,7",6,double
"A,7",7,stay
"A,7",9,hit
"A,7",10,hit
"A,7",11,hit
"A,8",5,stay
"A,8",6,double
"A,8",8,stay
"A,8",9,stay
"A,8",10,stay
"A,8",11,stay
"A,9",8,stay
"A,9",11,stay
"2,2",2,split
"2,2",4,split
"2,2",8,hit
"2,2",9,hit
"2,2",10,hit
"3,3",4,split
"3,3",5,split
"3,3",9,hit
"3,3",10,hit
"3,3",11,hit
"4,4",3,hit
"4,4",7,hit
"4,4",8,hit
"4,4",9,hit
"4,4",10,hit
"4,4",11,hit
"5,5",3,double
"5,5",4,double
"5,5",6,double
"5,5",7,double
"5,5",8,double
"5,5",9,double
"5,5",10,hit
"5,5",11,hit
"6,6",5,split
"6,6",6,split
"6,6",7,split
"6,6",8,hit
"6,6",9,hit
"6,6",10,hit
"6,6",11,hit
"7,7",4,split
"7,7",5,split
"7,7",7,split
"7,7",9,hit
"7,7",10,stay
"7,7",11,hit
"8,8",2,split
"8,8",9,split
"8,8",11,split
"9,9",3,split
"9,9",6,split
"9,9",10,stay
"A,2",2,double
"A,5",2,double
"8,8",2,stay
"2,2",2,double
"4,4",3,double
"A,7",3,stay
"A,4",3,double
"9,9",3,stay
"A,6",3,hit
"A,5",3,stay
"5,5",3,hit
"3,3",4,hit
"A,7",4,stay
"A,4",4,hit
"A,5",4,stay
"A,3",4,stay
"A,2",4,hit
"5,5",4,stay
"2,2",4,stay
"7,7",4,stay
"A,5",5,hit
"A,8",5,hit
"A,4",5,stay
"A,2",5,hit
"7,7",5,stay
"A,3",5,stay
"6,6",5,stay
"3,3",5,stay
"A,7",5,hit
"5,5",6,split
"A,6",6,stay
"A,7",6,stay
"A,3",6,hit
"A,2",6,stay
"A,8",6,stay
"A,4",6,hit
"6,6",6,stay
"9,9",6,stay
"6,6",7,stay
"A,3",7,double
"5,5",7,split
"A,6",7,stay
"4,4",7,stay
"A,4",7,stay
"A,5",7,double
"A,7",7,double
"7,7",7,stay
"A,9",8,double
"5,5",8,split
"A,8",8,double
"2,2",8,split
"A,6",8,double
"A,5",8,double
"A,4",8,double
"6,6",8,split
"4,4",8,split
"A,8",9,double
"A,7",9,double
"2,2",9,double
"A,5",9,stay
"6,6",9,split
"7,7",9,split
"5,5",9,hit
"3,3",9,double
"A,3",9,double
"8,8",9,stay
"A,6",9,double
"4,4",9,stay
"A,7",10,double
"5,5",10,split
"A,5",10,double
"A,6",10,double
"3,3",10,split
"A,8",10,double
"7,7",10,split
"9,9",10,split
"4,4",10,split
"6,6",10,split
"2,2",10,split
"8,8",11,stay
"A,9",11,hit
"6,6",11,stay
"5,5",11,stay
"A,2",11,double
"A,6",11,double
"4,4",11,double
"A,8",11,double
"A,7",11,double
"7,7",11,split
"3,3",11,split
5,2,double
5,3,double
5,4,double
5,8,double
6,2,stay
6,9,double
7,7,double
7,10,double
8,5,hit
8,6,hit
9,3,hit
9,4,hit
9,6,hit
9,10,double
10,2,hit
10,3,hit
10,4,hit
10,5,hit
10,6,hit
10,7,stay
10,9,hit
11,2,hit
11,3,hit
11,4,hit
11,5,hit
11,6,hit
11,7,hit
11,9,hit
11,10,hit
11,11,hit
12,2,stay
12,3,stay
12,7,stay
12,9,stay
13,3,double
13,4,double
13,7,stay
14,2,hit
14,11,stay
15,7,stay
15,11,stay
16,7,stay
16,11,stay
17,9,hit
17,10,hit
17,11,hit
