player,dealer,optimal_learner,optimal_basic
"A,2",2,double,hit
"5,5",2,double,double
"A,5",2,double,hit
"A,4",2,hit,hit
"A,7",2,stay,stay
"10,10",2,stay,stay
"A,6",2,double,double
"A,9",2,stay,stay
"8,8",2,stay,split
"A,3",2,hit,hit
"6,6",2,split,split
"A,8",2,stay,stay
"3,3",2,split,split
"2,2",2,double,split
"7,7",2,split,split
"9,9",2,split,split
"4,4",2,hit,hit
"A,A",2,split,split
"10,10",3,stay,stay
"4,4",3,double,hit
"A,7",3,stay,double
"7,7",3,split,split
"A,4",3,double,hit
"A,9",3,stay,stay
"3,3",3,split,split
"A,A",3,split,split
"A,2",3,hit,hit
"9,9",3,stay,split
"A,6",3,hit,double
"6,6",3,split,split
"A,3",3,hit,hit
"A,5",3,stay,hit
"5,5",3,hit,double
"A,8",3,stay,stay
"2,2",3,split,split
"8,8",3,split,split
"3,3",4,hit,split
"A,6",4,double,double
"10,10",4,stay,stay
"A,7",4,stay,double
"8,8",4,split,split
"A,A",4,split,split
"A,4",4,hit,double
"A,5",4,stay,double
"A,9",4,stay,stay
"A,8",4,stay,stay
"6,6",4,split,split
"A,3",4,stay,double
"A,2",4,hit,double
"9,9",4,split,split
"5,5",4,stay,double
"2,2",4,stay,split
"7,7",4,stay,split
"4,4",4,split,split
"10,10",5,stay,stay
"A,6",5,double,double
"A,5",5,hit,double
"A,9",5,stay,stay
"2,2",5,split,split
"A,8",5,hit,stay
"A,4",5,stay,double
"A,2",5,hit,double
"A,A",5,split,split
"7,7",5,stay,split
"A,3",5,stay,double
"4,4",5,split,split
"5,5",5,double,double
"6,6",5,stay,split
"9,9",5,split,split
"3,3",5,stay,split
"8,8",5,split,split
"A,7",5,hit,double
"A,9",6,stay,stay
"10,10",6,stay,stay
"5,5",6,split,double
"A,6",6,stay,hit
"A,7",6,stay,double
"A,5",6,double,double
"2,2",6,split,split
"A,3",6,hit,double
"A,2",6,stay,double
"3,3",6,split,split
"A,8",6,stay,double
"8,8",6,split,split
"A,4",6,hit,double
"4,4",6,split,split
"6,6",6,stay,split
"A,A",6,split,split
"7,7",6,split,split
"9,9",6,stay,split
"6,6",7,stay,split
"10,10",7,stay,stay
"8,8",7,split,split
"A,2",7,hit,hit
"A,9",7,stay,stay
"A,3",7,double,hit
"5,5",7,split,double
